Date,Sharpe_252d,Return_252d
2021-07-06,,
2021-07-07,,
2021-07-08,,
2021-07-09,,
2021-07-12,,
2021-07-13,,
2021-07-14,,
2021-07-15,,
2021-07-16,,
2021-07-19,,
2021-07-20,,
2021-07-21,,
2021-07-22,,
2021-07-23,,
2021-07-26,,
2021-07-27,,
2021-07-28,,
2021-07-29,,
2021-07-30,,
2021-09-01,,
2021-09-02,,
2021-09-03,,
2021-09-06,,
2021-09-07,,
2021-09-08,,
2021-09-09,,
2021-09-10,,
2021-09-13,,
2021-09-14,,
2021-09-15,,
2021-09-16,,
2021-09-17,,
2021-09-20,,
2021-09-21,,
2021-09-22,,
2021-09-23,,
2021-09-24,,
2021-09-27,,
2021-09-28,,
2021-09-29,,
2021-09-30,,
2021-11-01,,
2021-11-02,,
2021-11-03,,
2021-11-04,,
2021-11-05,,
2021-11-08,,
2021-11-09,,
2021-11-10,,
2021-11-11,,
2021-11-12,,
2021-11-15,,
2021-11-16,,
2021-11-17,,
2021-11-18,,
2021-11-19,,
2021-11-22,,
2021-11-23,,
2021-11-24,,
2021-11-25,,
2021-11-26,,
2021-11-29,,
2021-11-30,,
2022-01-03,,
2022-01-04,,
2022-01-05,,
2022-01-06,,
2022-01-07,,
2022-01-10,,
2022-01-11,,
2022-01-12,,
2022-01-13,,
2022-01-14,,
2022-01-17,,
2022-01-18,,
2022-01-19,,
2022-01-20,,
2022-01-21,,
2022-01-24,,
2022-01-25,,
2022-01-26,,
2022-01-27,,
2022-01-28,,
2022-01-31,,
2022-05-02,,
2022-05-03,,
2022-05-04,,
2022-05-05,,
2022-05-06,,
2022-05-09,,
2022-05-10,,
2022-05-11,,
2022-05-12,,
2022-05-13,,
2022-05-16,,
2022-05-17,,
2022-05-18,,
2022-05-19,,
2022-05-20,,
2022-05-23,,
2022-05-24,,
2022-05-25,,
2022-05-26,,
2022-05-27,,
2022-05-30,,
2022-05-31,,
2022-12-01,,
2022-12-02,,
2022-12-05,,
2022-12-06,,
2022-12-07,,
2022-12-08,,
2022-12-09,,
2022-12-12,,
2022-12-13,,
2022-12-14,,
2022-12-15,,
2022-12-16,,
2022-12-19,,
2022-12-20,,
2022-12-21,0.2123344205842141,0.02210583412602407
2022-12-22,0.180344886156923,0.01637291042762712
2022-12-23,0.2550751266499047,0.02978687471732888
2022-12-27,0.16184195509369745,0.013087920484365245
2022-12-28,0.10106786904701902,0.0023974247100266854
2022-12-29,0.16195106076672547,0.013104131875619096
2022-12-30,0.0943623804488163,0.0011857731817492834
2023-03-01,0.23008384659432643,0.02512696957178262
2023-03-02,0.22515141611732167,0.024253506848486817
2023-03-03,0.30389797188022455,0.038297844395235314
2023-03-06,0.3191308963127894,0.041043336629289495
2023-03-07,0.28647901511163176,0.03519661542332653
2023-03-08,0.22840034693163114,0.02482434290757829
2023-03-09,0.16060854210510123,0.012894403019108047
2023-03-10,-0.0057548501710866454,-0.015888735653728503
2023-03-13,-0.27548926329669465,-0.06249427002828767
2023-03-14,-0.12379540462992968,-0.036918932407119964
2023-03-15,-0.3498810609358663,-0.07685291305592246
2023-03-16,-0.2946396203065786,-0.06770434964529881
2023-03-17,-0.3652913194838512,-0.08020910080295163
2023-03-20,-0.25358092143300287,-0.061554825775380184
2023-03-21,-0.00880735711695076,-0.01848440964004161
2023-03-22,-0.0067792408544000825,-0.018116221973561775
2023-03-23,-0.01794140051512964,-0.020156684012103243
2023-03-24,-0.12768909666378164,-0.04053187321855334
2023-03-27,-0.118333372607493,-0.03890663542117001
2023-03-28,-0.1420915302538659,-0.04317525754266227
2023-03-29,-0.02640177250737869,-0.022411218768472185
2023-03-30,0.029261036401150492,-0.012200398181726024
2023-03-31,0.09744218611662901,0.0005982362835139643
2023-04-03,0.0590616425171566,-0.006595054603138473
2023-04-04,0.10991410508004376,0.002922939334837338
2023-04-05,0.17937799107011362,0.016132864641127842
2023-04-06,0.11011582417289595,0.002914902243868367
2023-04-11,0.08683167955013424,-0.0014781663918986832
2023-04-12,0.11438122650185932,0.003734718485229438
2023-04-13,0.22687830837172632,0.025334449577152807
2023-04-14,0.2715912902381369,0.03410577273499693
2023-04-17,0.22741727533021444,0.02546270149405072
2023-04-18,0.38381602940451237,0.0562818482491354
2023-04-19,0.3426267779148355,0.04804898606130692
2023-04-20,0.3858146043982748,0.05670784318138322
2023-04-21,0.43703598906417207,0.06705256875785337
2023-04-24,0.3693280869927672,0.05330539200411777
2023-04-25,0.3868956481856252,0.05680855261755857
2023-04-26,0.3603868034584936,0.05159030648510243
2023-04-27,0.3275162714210104,0.04503382821141444
2023-04-28,0.2517553323460776,0.03015733180118585
2023-05-02,0.16433818854307114,0.013232131250571877
2023-05-03,0.24051458381879262,0.027983476742489355
2023-05-04,0.2034613683174095,0.02077971705495374
2023-05-05,0.19097411908439535,0.01836441585886517
2023-05-08,0.23999405582014785,0.027879851877342432
2023-05-09,0.18859072447207068,0.01790411473331366
2023-05-10,0.08560287492694936,-0.0017664215910331293
2023-05-11,0.12142749580001885,0.005025140989981525
2023-05-12,0.13230178567135317,0.007100437435462181
2023-05-15,0.08637721645034488,-0.001614460255177197
2023-05-16,0.003654886444140367,-0.01704147943948342
2023-05-17,-0.11099900150232812,-0.037870872960152235
2023-05-18,0.01577238448003876,-0.014277544403314635
2023-05-19,-0.03926472010757589,-0.02420073535264433
2023-05-22,-0.05592832168629062,-0.027188931905108404
2023-05-23,-0.1330815748305507,-0.04130510457426895
2023-05-24,-0.10013547891010442,-0.03530028058554657
2023-05-25,-0.20813910865402377,-0.0542660103037611
2023-05-26,-0.21455646813192697,-0.055373665747270984
2023-05-29,-0.28065719075406514,-0.06675593039379202
2023-05-30,-0.2609490039519266,-0.06332283199621747
2023-05-31,-0.2656314536083065,-0.0641560444228978
2023-07-03,-0.4766244131677864,-0.09748074962630515
2023-07-04,-0.5097325179984354,-0.10280870894635175
2023-07-05,-0.576601424308742,-0.11339623855188907
2023-07-06,-0.732573042226892,-0.13929750974072086
2023-07-07,-0.7636250967796582,-0.14405296842396476
2023-07-10,-0.7885349057291617,-0.14790907225171201
2023-07-11,-0.7242130969953786,-0.13784279242456665
2023-07-12,-0.7760417291787673,-0.14534013580303407
2023-07-13,-0.7807355480746824,-0.14603584563906669
2023-07-14,-0.6731971880733894,-0.1283280741867604
2023-07-17,-0.6993199675455355,-0.13251914582896418
2023-07-18,-0.6279105973606495,-0.1208281552248639
2023-07-19,-0.6315619818197546,-0.12139665736703276
2023-07-20,-0.7263404663217865,-0.13541722501211761
2023-07-21,-0.6884655208008981,-0.12984872599312425
2023-07-24,-0.6937424224123848,-0.13066410413097795
2023-07-25,-0.8212499362721176,-0.14913755749416036
2023-07-26,-0.7531120208637822,-0.13849435857635495
2023-07-27,-0.6843560230307506,-0.12822129099935065
2023-07-28,-0.7531609006474052,-0.1383929988312097
2023-07-31,-0.7420978667967174,-0.13667632527809526
2023-08-01,-0.7804175915729162,-0.1429008966820312
2023-08-02,-0.8321785696604787,-0.15095509995656275
2023-08-03,-0.8748337902153281,-0.15737059358812133
2023-08-04,-0.8926530847772375,-0.159896753951282
2023-08-07,-0.9006254050728975,-0.1610584935211945
2023-08-08,-0.9095442298525673,-0.1624584043995676
2023-08-09,-1.026642007918758,-0.1785277339732746
2023-08-10,-0.9450779901450957,-0.16653775359704404
2023-08-11,-0.8452943294268297,-0.14946773443033634
2023-08-14,-0.8755091044713225,-0.15376737523509465
2023-08-15,-0.9843026217924877,-0.16981632342597353
2023-08-16,-1.0271950244536798,-0.17572672509421017
2023-08-17,-1.1186285064617574,-0.18883142919418305
2023-08-18,-1.1403709835782174,-0.1920216459245847
2023-08-21,-1.1008436263516772,-0.18663687287959696
2023-08-22,-0.9471674553833697,-0.1632653096602542
2023-08-23,-0.9137336087508611,-0.15835553668479185
2023-08-24,-0.9979533278051317,-0.17053124441193124
2023-08-25,-0.9184827547598962,-0.1587631714727824
2023-08-28,-0.9180489400864384,-0.15870636014860984
2023-08-29,-0.8783956342633102,-0.15316204999421268
2023-08-30,-0.917019880087195,-0.15860320998436628
2023-08-31,-0.8895724388554408,-0.1545814026698762
2023-09-01,-0.7581597154342073,-0.13466685802911682
2023-09-04,-0.7705389888498593,-0.13653029792555138
2023-09-05,-0.852580960986815,-0.14840795696956288
2023-09-06,-0.9310389303082477,-0.1591824185591304
2023-09-07,-0.8827142745125972,-0.15231336267906348
2023-09-08,-0.8638611162871768,-0.1495933190218981
2023-09-11,-0.7667767277975412,-0.13536566021258611
2023-09-12,-0.861464454710051,-0.14883449877739396
2023-09-13,-0.9050606497164297,-0.1550762360077771
2023-09-14,-0.9003222945177191,-0.1544449456017164
2023-09-15,-0.8921897050970866,-0.1533333521799214
2023-09-18,-1.01845330291196,-0.17249183369942
2023-09-19,-0.9875115672939963,-0.1682321922932517
2023-09-20,-1.0955184201454065,-0.1834896324782469
2023-09-21,-1.130529917613653,-0.18857363747103362
2023-09-22,-1.1329406330662013,-0.18890878731372662
2023-09-25,-1.1546022979317463,-0.19186940093075955
2023-09-26,-1.1795064757792877,-0.19541419948759697
2023-09-27,-1.1961802890894042,-0.1976286750137114
2023-09-28,-1.221568732097608,-0.20079959530055191
2023-09-29,-1.1946523470991297,-0.1968496851486583
2023-12-01,-1.2212879883210328,-0.20019142967507886
2023-12-04,-1.3121854541540532,-0.2117289833408983
2023-12-05,-1.2954399225502111,-0.20954379115831867
2023-12-06,-1.2183273067169422,-0.19967949262985596
2023-12-07,-1.19890635346186,-0.1969790294972964
2023-12-08,-1.1622229384687282,-0.1919653586947856
2023-12-11,-1.1082724624882043,-0.18441567747184495
2023-12-12,-1.0822573613409252,-0.180840960237163
2023-12-13,-1.1666161986021188,-0.1928856148970639
2023-12-14,-1.2839733339599455,-0.20810082551419973
2023-12-15,-1.3536614525485537,-0.2168639935859088
2023-12-18,-1.3386916657103638,-0.21475710035500772
2023-12-19,-1.33384066759517,-0.21408865240880492
2023-12-20,-1.419368834632639,-0.22468596032934907
2023-12-21,-1.441758401366389,-0.2275182201685343
2023-12-22,-1.4560272734835569,-0.22932158674027614
2023-12-27,-1.5459314738442984,-0.24020889707131787
2023-12-28,-1.6010500588412786,-0.24713520469453387
2023-12-29,-1.5911956012795065,-0.24587352126031403
2024-01-02,-1.6466598629989897,-0.2527369728785369
2024-01-03,-1.7428830290892516,-0.2660242104858582
2024-01-04,-1.7307353958602048,-0.2645257786698796
2024-01-05,-1.709299851498157,-0.2617934217817557
2024-01-08,-1.669283050855518,-0.2570056010533184
2024-01-09,-1.6085259574379753,-0.24894381571501256
2024-01-10,-1.6736033160869246,-0.25652534633478774
2024-01-11,-1.6749278552425575,-0.2566996263681538
2024-01-12,-1.7060093418183262,-0.26011412417221325
2024-01-15,-1.7474518094024452,-0.2660127443900062
2024-01-16,-1.6865929099181283,-0.2582061680677844
2024-01-17,-1.6932449489427026,-0.2590872818889759
2024-01-18,-1.6073203687585487,-0.24870405875740154
2024-01-19,-1.6899804458021073,-0.25890537748660625
2024-01-22,-1.5538335191617958,-0.24102476506026793
2024-01-23,-1.451217289781097,-0.2259214622780945
2024-01-24,-1.2049159033396002,-0.18954800559778728
2024-01-25,-1.1328529570945747,-0.1803188971616434
2024-01-26,-1.0770144932775212,-0.17323390232182256
2024-01-29,-1.147391508879535,-0.18242479399901612
2024-01-30,-1.1393237945556551,-0.18146893589820634
2024-01-31,-1.2091412018363843,-0.19020569875832727
2024-02-01,-1.4305962151285307,-0.22188823948527292
2024-02-02,-1.4544305335368741,-0.22496042802301075
2024-02-05,-1.4911935599789634,-0.22953941952351642
2024-02-06,-1.4365117831069456,-0.22244868910139237
2024-02-07,-1.3712858568009936,-0.2140729105668372
2024-02-08,-1.375780444126715,-0.21460740647495735
2024-02-09,-1.4141974325280533,-0.21930035767675338
2024-02-12,-1.4566937050421798,-0.22459684389886037
2024-02-13,-1.50205412673522,-0.23056314523250843
2024-02-14,-1.4584327954906597,-0.2253224253824584
2024-02-15,-1.4333225655971613,-0.2223527062575691
2024-02-16,-1.4188333209069233,-0.22066472950494742
2024-02-19,-1.35187864002847,-0.2118414232825212
2024-02-20,-1.242948719380019,-0.19642629494882402
2024-02-21,-1.2418588870133416,-0.19627648514035212
2024-02-22,-1.2206716165063796,-0.1937028437427688
2024-02-23,-1.028304820202358,-0.16490415086894805
2024-02-26,-1.102036034852102,-0.17456639724660583
2024-02-27,-1.1211931650477764,-0.17709273254810787
2024-02-28,-1.1742301451508197,-0.18376283461611753
2024-02-29,-1.1819687740152365,-0.1847864128765414
2024-03-01,-1.1536198209744366,-0.18100766741173546
2024-03-04,-0.975880711983796,-0.15632890941037725
2024-03-05,-1.046860015046826,-0.16550062558008538
2024-03-06,-0.8135139516476639,-0.1304198505866403
2024-03-07,-0.8614778116069973,-0.13657412195189178
2024-03-08,-0.8817072008572177,-0.13929397060747772
2024-03-11,-0.8581459236092908,-0.1360159706800762
2024-03-12,-0.6714738900716988,-0.11041022717201043
2024-03-13,-0.7073200500518286,-0.11525778947291243
2024-03-14,-0.5570537586822367,-0.09358815233031825
2024-03-15,-0.5039462119692657,-0.086284204285756
2024-03-18,-0.5679685913451116,-0.09510788849429264
2024-03-19,-0.3383263710863927,-0.0616142404457628
2024-03-20,-0.11340636092424596,-0.02755985468897515
2024-03-21,-0.05533166086588872,-0.019126169505115587
2024-03-22,-0.19495562777616068,-0.03893320306716652
2024-03-25,-0.1692229401044459,-0.03527989224289707
2024-03-26,-0.1125049568382193,-0.02710367020018445
2024-03-27,-0.21271435009549083,-0.04114168221753689
2024-03-28,-0.20353328140083232,-0.039840470783008786
2024-04-02,-0.42580244089331676,-0.07078009744200098
2024-04-03,-0.3940002131476466,-0.06641796164535796
2024-04-04,-0.43186911615419576,-0.07153192777401829
2024-04-05,-0.45330664220986994,-0.07454265064089827
2024-04-08,-0.35105838176763277,-0.060701039651550937
2024-04-09,-0.43639977502372684,-0.07247020164288787
2024-04-10,-0.4001601416726214,-0.06749416954771703
2024-04-11,-0.37123008000977126,-0.06354926564789665
2024-04-12,-0.5113417323698829,-0.08243529920738824
2024-04-15,-0.4937637722835611,-0.0801204091448654
2024-04-16,-0.6391118745459108,-0.10027986975236625
2024-04-17,-0.5237225682234233,-0.08435992723309071
2024-04-18,-0.36918408858479757,-0.06283119798006287
2024-04-19,-0.4031653799866772,-0.06756893634711869
2024-04-22,-0.41132740023066205,-0.0686358615824425
2024-04-23,-0.309278916530426,-0.05487363393032829
2024-04-24,-0.2880567935052593,-0.051914628480344116
2024-04-25,-0.420662109116464,-0.0706556148240296
2024-04-26,-0.38056196060308184,-0.06519883728626374
2024-04-29,-0.3558933041129899,-0.06172526335244266
2024-04-30,-0.5313731261582363,-0.08756679269270884
2024-05-02,-0.5140796097967621,-0.08519553276064185
2024-05-03,-0.45654928691639557,-0.07727125341711993
2024-05-06,-0.3779149180620981,-0.06632424517844204
2024-05-07,-0.344973999929031,-0.061721649362043496
2024-05-08,-0.2440404904229364,-0.04727549874740522
2024-05-09,-0.16359147810782418,-0.03567011002430298
2024-05-10,-0.16036768343717686,-0.035201714746045165
2024-05-13,-0.12257726232983372,-0.029659007891351563
2024-05-14,-0.17814779505843967,-0.03772188565851642
2024-05-15,-0.11407840497364975,-0.02830249921039918
2024-05-16,-0.03753074489922612,-0.016733923583380217
2024-05-17,0.06710499882602856,-0.0011653953320400756
2024-05-20,0.032117561712150154,-0.0063553728676690735
2024-05-21,0.04619134952930583,-0.004259201232662879
2024-05-22,-0.1347808110993579,-0.030565135014995026
2024-05-23,-0.04831802739792981,-0.01805999195150465
2024-05-24,-0.046413774921686385,-0.01778256928856803
2024-05-27,-0.05559633471901795,-0.0191148866995976
2024-05-28,0.009240903971730998,-0.009599784574616632
2024-05-29,-0.07561902348110656,-0.021972973822494635
2024-05-30,0.0206934535404661,-0.007855105350956237
2024-05-31,0.09572013058772051,0.003201454948966065
2024-06-03,0.10059435448867891,0.00392398532117566
2024-06-04,-0.012343481690764673,-0.012690324791089447
2024-06-05,-0.042041909671447185,-0.01699852121546508
2024-06-06,-0.008561362409792758,-0.012106065119682041
2024-06-07,-0.06538495192353656,-0.020390010832729843
2024-06-10,-0.005542394233111278,-0.01164714132486322
2024-06-11,-0.05148413903561183,-0.018499068021267107
2024-06-12,0.2921061648867137,0.03214295725606986
2024-06-13,0.11921264495542376,0.006811667211349404
2024-06-14,0.14643774337150167,0.010760635662367957
2024-06-17,0.036833927480303966,-0.004893277370815463
2024-06-18,0.3221277939187579,0.03619382406745397
2024-06-19,0.20702118584855544,0.019385601640560246
2024-06-20,0.12050510603274438,0.007104735216888924
2024-06-21,0.03846020275831915,-0.0043641293452795216
2024-06-24,0.17439264240802876,0.014680517640438984
2024-06-25,0.35449666006607067,0.03966004018412339
2024-06-26,0.07702345020766001,0.0012664805083866248
2024-06-27,0.09985213687658752,0.0043620774068882096
2024-06-28,-0.019566927955945845,-0.011535130017479966
2024-09-02,-0.08488288773897447,-0.020018975047328524
2024-09-03,-0.12934697782296237,-0.02582344680010429
2024-09-04,-0.10946066293666473,-0.023229412484337852
2024-09-05,-0.13381984014973336,-0.026332512545097275
2024-09-06,-0.23615210556218452,-0.03934354648369853
2024-09-09,-0.1204602084901528,-0.024410254857476166
2024-09-10,-0.13588614175262914,-0.02639362742036555
2024-09-11,-0.09274611474007656,-0.02085922123942674
2024-09-12,-0.24632976618255872,-0.039984088583364996
2024-09-13,-0.263864143133045,-0.042120115448594286
2024-09-16,-0.14677591702186518,-0.027246071282985618
2024-09-17,-0.20924397674915596,-0.03503887490866975
2024-09-18,-0.23938645538902859,-0.038842924329835715
2024-09-19,-0.34091957074572093,-0.0513020638944095
2024-09-20,-0.3575037595367071,-0.05329291533655156
2024-09-23,-0.396704226509353,-0.05807804924786042
2024-09-24,-0.404429007468249,-0.05901678654771059
2024-09-25,-0.36551739738950906,-0.053994277318549555
2024-09-26,-0.38602683421701817,-0.05648054455513141
2024-09-27,-0.34476106391335604,-0.05134306928191512
2024-09-30,-0.41132030714700374,-0.05998159122896529
2024-10-01,-0.5545130534657147,-0.0773460067876649
2024-10-02,-0.5861419322055272,-0.08120249496940779
2024-10-03,-0.6938236519786127,-0.09442310649563324
2024-10-04,-0.7183859342751491,-0.0972365524538843
2024-10-07,-0.7635600256783924,-0.10272231448962099
2024-10-08,-0.7186713069052032,-0.09726164489919531
2024-10-09,-0.7526724634246925,-0.10113398864077539
2024-10-10,-0.8267084406515426,-0.11012553160828709
2024-10-11,-0.7082599783033395,-0.09681070745787723
2024-10-14,-0.6692826646801797,-0.09221000923453626
2024-10-15,-0.67374234449046,-0.09275498556468631
2024-10-16,-0.6514158540259107,-0.09002984396913827
2024-10-17,-0.592795168660962,-0.08329351054666867
2024-10-18,-0.5710980381226115,-0.08074264806573106
2024-10-21,-0.5410698733324504,-0.0767303230457892
2024-10-22,-0.6503839152135596,-0.09121904249359969
2024-10-23,-0.62903632562667,-0.08858344905586457
2024-10-24,-0.6431431001829437,-0.09024116014977335
2024-10-25,-0.613056462436751,-0.08659178735491602
2024-10-28,-0.548198711691757,-0.07880079964272602
2024-10-29,-0.5207524100073468,-0.07525690844053268
2024-10-30,-0.635368928967907,-0.08970573244848179
2024-10-31,-0.6945785873307813,-0.09707789924106625
2025-01-02,-0.7133792976974982,-0.09939468657002848
2025-01-03,-0.7051053208727118,-0.0982193090801049
2025-01-06,-0.460410135428184,-0.07026672633520581
2025-01-07,-0.38280880642386605,-0.060411011752222854
2025-01-08,-0.4274895265210099,-0.06614130967463716
2025-01-09,-0.5919814922658061,-0.08721675813464569
2025-01-10,-0.665154515965347,-0.09625170428825292
2025-01-13,-0.6841267984295899,-0.09864287622465262
2025-01-14,-0.5502333979530898,-0.08197442455131121
2025-01-15,-0.4439000741810242,-0.06866766612153441
2025-01-16,-0.21378418268020716,-0.03980832510656196
2025-01-17,-0.18751940006150172,-0.03624417960059512
2025-01-20,-0.32052116109257006,-0.05411828683399955
2025-01-21,-0.23609404801902376,-0.042894853980247616
2025-01-22,-0.0543076187691414,-0.018180647407399442
2025-01-23,-0.10809178881776799,-0.02584683429793244
2025-01-24,-0.11546158796474769,-0.026868264363151262
2025-01-27,-0.12342014176175739,-0.027989015521026284
2025-01-28,-0.08394064839610947,-0.022411665120826263
2025-01-29,0.0632967591764956,-0.0012563695469973712
2025-01-30,0.17567389954450865,0.015052658662447094
2025-01-31,0.23271087793560008,0.023418803078017802
2025-02-03,0.13745298337063774,0.00948267785916812
2025-02-04,0.16447862390729492,0.013420049755834107
2025-02-05,0.2483318440736793,0.0256994905005985
2025-02-06,0.35706152935379876,0.04205099723810202
2025-02-07,0.34837438400047926,0.040734256210118946
2025-02-10,0.468390589143601,0.05872409926296185
2025-02-11,0.49965425198499996,0.06355422389363818
2025-02-12,0.6361887710804044,0.08446679820848879
2025-02-13,0.7812815148311445,0.10869822690428688
2025-02-14,0.8432371050392002,0.11845329383262748
2025-02-17,0.9331273697139605,0.13296045914617416
2025-02-18,0.8929692277891906,0.12625527082503574
2025-02-19,0.8102120823040948,0.11294765175160704
2025-02-20,0.7561640566584837,0.10441176924755435
2025-02-21,0.8068118836743692,0.11237211111390955
2025-02-24,0.7654088143586063,0.10575384995215331
2025-02-25,0.6458904116306371,0.08631447615218701
2025-02-26,0.657559533949925,0.08820984844819968
2025-02-27,0.6760724280310928,0.09114649687976195
2025-02-28,0.6501453514772804,0.08709656318927106
2025-03-03,0.81059788022303,0.11498816872285089
2025-03-04,0.8279901601988805,0.11780737308234324
2025-03-05,1.0250870616871348,0.15298053138999057
2025-03-06,1.1092618337088271,0.1683522961646926
2025-03-07,1.0397575663938434,0.15622235712560384
2025-03-10,0.9255987568946145,0.13721835747612343
2025-03-11,0.8401629678504866,0.12258760063952323
2025-03-12,0.913110242484169,0.1351253954972369
2025-03-13,0.9485219221680808,0.14119435535717506
2025-03-14,0.9950669238574146,0.15004310144891297
2025-03-17,0.964417973656833,0.14453087454253954
2025-03-18,1.2003595303603074,0.18514719664548585
2025-03-19,1.1367499260712461,0.17373033093867218
2025-03-20,1.1838556740838218,0.18171144652170335
2025-03-21,1.2315885139709681,0.18987043422492889
2025-03-24,1.2740919493472471,0.19760110977324774
2025-03-25,1.373880868425433,0.21679399494996598
2025-03-26,1.436447522536728,0.22809229133110476
2025-03-27,1.404171187901915,0.22215254535703588
2025-03-28,1.302112820911443,0.20334642137041703
2025-03-31,1.2816979037407714,0.1998698501789209
2025-04-01,1.2996851789899015,0.20338120087566525
2025-04-02,1.293762217274949,0.20231620886722013
2025-04-03,1.425890587047563,0.23010794853854843
2025-04-04,1.0938798349038443,0.17292198887011567
2025-04-07,0.8094303908615529,0.12566948605408035
2025-04-08,0.9267077552628885,0.1487646111930616
2025-04-09,0.8365412229270556,0.13222959478277052
2025-04-10,0.9582440293496347,0.15682939236937776
2025-04-11,1.0693836895489859,0.17805298483486975
2025-04-14,1.166229580315877,0.19757678229037556
2025-04-15,1.2672102296307775,0.21921082434123718
2025-04-16,1.3374058326967058,0.23356314338764617
2025-04-17,1.334378616927122,0.23296013569428076
2025-04-22,1.3846356922172631,0.24361257495567523
2025-04-23,1.336522714401057,0.23389439676460766
2025-04-24,1.2529614701997553,0.2173904048161781
2025-04-25,1.1799938490286506,0.20321940325570487
2025-04-28,1.2329624817991847,0.21398229576171346
2025-04-29,1.334931390236149,0.2361815194440784
2025-04-30,1.4643826907461024,0.2652219585903737
2025-05-02,1.617293024342516,0.29662522984981887
2025-05-05,1.6444582164224801,0.30270385532053434
2025-05-06,1.639828074997757,0.3017057130268277
2025-05-07,1.596165208177327,0.29197748582940375
2025-05-08,1.5894921913091977,0.2905391583674002
2025-05-09,1.606231114005793,0.2942628279208557
2025-05-12,1.5792131671181278,0.2887483521415497
2025-05-13,1.4946471563106125,0.2703093908813934
2025-05-14,1.639023583794679,0.3002435492605562
2025-05-15,1.7114823757132838,0.3173540415098086
2025-05-16,1.7987515405233288,0.3368503749379199
2025-05-19,1.7860437110354064,0.3337553818202521
2025-05-20,1.9151041757235026,0.364588902892623
2025-05-21,1.8871365910539455,0.35788347694203915
2025-05-22,1.9236237988088756,0.3661110146249884
2025-05-23,1.8027788745184017,0.33897637932053426
2025-05-26,1.8162802188673204,0.3423836869057346
2025-05-27,1.7064337182842864,0.3173050999571869
2025-05-28,1.693071716182087,0.314432457816354
2025-05-29,1.6239792186097268,0.2978670397638292
2025-05-30,1.6090137167952507,0.2946007807723645
2025-06-02,1.8455250396500944,0.34094198536789255
2025-06-03,1.819312989578063,0.33544839332976784
2025-06-04,1.776881477296586,0.3265266547460899
2025-06-05,1.8390912543407851,0.341404057031508
2025-06-06,1.800587490883009,0.33272194649614284
2025-06-09,1.7616023935266472,0.3237011711621316
2025-06-10,1.7638318092995002,0.3242013563287014
2025-06-11,1.820025031313151,0.3370203337200708
2025-06-12,1.928204163201021,0.36144215132262647
2025-06-13,1.918936086976785,0.3591741001453641
2025-06-16,1.8718334002972048,0.3480015556756626
2025-06-17,1.726030706889618,0.316124215452924
2025-06-18,1.7238031546357822,0.3156249263424651
2025-06-19,1.6522123065951633,0.3007482560799719
2025-06-20,1.6926061416589588,0.30937055341612596
2025-06-23,1.6546161786149407,0.3004906985144238
2025-06-24,1.6458176380500134,0.2985507797057605
2025-06-25,1.652355742763009,0.299929054589515
2025-06-26,1.6869793537878481,0.30756072202207907
2025-06-27,1.6740000213987345,0.3047331717529258
